Date,F.Y,QUARTER,P_NO,PAYMENT TYPE,TYPE OF PRODUCT,Quantity,Price,Amount,TYPE OF ACCESSORY/MOBILE
01-04-2018,2018-2019,1,P/A/36,CASH,ACCESSORY,1,2042.38,2542.38,COVER
01-04-2018,2018-2019,1,P/A/47,CASH,ACCESSORY,1,2042.38,2118.64,WIRELESS HEADSET
01-04-2018,2018-2019,1,P/M/A34,CREDIT,MOBILE,1,2042.38,13303.58,BUDGET PHONE
01-04-2018,2018-2019,1,P/M/A42,CREDIT,MOBILE,1,2042.38,51696.43,FLAGSHIP PHONE
01-04-2018,2018-2019,1,P/M/A42,DEBIT,MOBILE,1,2042.38,51696.42,FLAGSHIP PHONE
01-04-2018,2018-2019,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,2042.38,57946.42,FLAGSHIP PHONE
02-04-2018,2018-2019,1,P/M/A19,MOBILE PAYMENTS,MOBILE,1,2042.38,31241.08,PREMIUM MIDRANGE PHONE
02-04-2018,2018-2019,1,P/M/A34,DEBIT,MOBILE,1,2042.38,13303.58,BUDGET PHONE
02-04-2018,2018-2019,1,P/M/A43,CREDIT,MOBILE,1,2042.38,57946.42,FLAGSHIP PHONE
03-04-2018,2018-2019,1,P/A/47,CASH,ACCESSORY,1,2042.38,2203.38,WIRELESS HEADSET
03-04-2018,2018-2019,1,P/M/A19,MOBILE PAYMENTS,MOBILE,1,2042.38,31241.08,PREMIUM MIDRANGE PHONE
03-04-2018,2018-2019,1,P/M/A42,CREDIT,MOBILE,1,2042.38,51696.42,FLAGSHIP PHONE
03-04-2018,2018-2019,1,P/M/A42,DEBIT,MOBILE,1,2042.38,51696.43,FLAGSHIP PHONE
03-04-2018,2018-2019,1,P/M/A43,CREDIT,MOBILE,1,2042.38,57946.42,FLAGSHIP PHONE
03-04-2018,2018-2019,1,P/T/S1,MOBILE PAYMENTS,TABLET,1,2042.38,10084.74,BUDGET TABLET
04-04-2018,2018-2019,1,P/A/47,DEBIT,ACCESSORY,1,2042.38,1906.78,WIRELESS HEADSET
04-04-2018,2018-2019,1,P/M/A40,CREDIT,MOBILE,1,2042.38,44633.93,PREMIUM MIDRANGE PHONE
05-04-2018,2018-2019,1,P/M/A23,DEBIT,MOBILE,1,2042.38,1258.92,BUDGET PHONE
05-04-2018,2018-2019,1,P/M/A32,CREDIT,MOBILE,1,2042.38,12410.72,BUDGET PHONE
05-04-2018,2018-2019,1,P/M/A41,CREDIT,MOBILE,1,2042.38,46419.64,PREMIUM MIDRANGE PHONE
06-04-2018,2018-2019,1,P/A/47,CASH,ACCESSORY,1,2042.38,2033.9,WIRELESS HEADSET
06-04-2018,2018-2019,1,P/M/A29,CASH,MOBILE,1,2042.38,1071.42,BUDGET PHONE
06-04-2018,2018-2019,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
06-04-2018,2018-2019,1,P/M/A74,MOBILE PAYMENTS,MOBILE,1,60125,60625,FLAGSHIP PHONE
07-04-2018,2018-2019,1,P/A/22,CASH,ACCESSORY,1,516.1,1016.1,CHARGER 
07-04-2018,2018-2019,1,P/A/22,CASH,ACCESSORY,1,516.1,1016.1,CHARGER 
07-04-2018,2018-2019,1,P/A/30,CASH,ACCESSORY,1,1363.56,1863.56,COVER
07-04-2018,2018-2019,1,P/A/35,CASH,ACCESSORY,1,2295.76,2795.76,COVER
07-04-2018,2018-2019,1,P/M/A34,CREDIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
07-04-2018,2018-2019,1,P/M/A54,CREDIT,MOBILE,1,6375,6875,BUDGET PHONE
07-04-2018,2018-2019,1,P/M/A61,MOBILE PAYMENTS,MOBILE,1,7973.22,8473.22,BUDGET PHONE
07-04-2018,2018-2019,1,P/M/A74,DEBIT,MOBILE,1,60125,60625,FLAGSHIP PHONE
08-04-2018,2018-2019,1,P/A/22,CASH,ACCESSORY,1,516.1,1016.1,CHARGER 
08-04-2018,2018-2019,1,P/A/35,CASH,ACCESSORY,1,2295.76,2795.76,COVER
08-04-2018,2018-2019,1,P/A/47,CASH,ACCESSORY,1,1364.4,1864.4,WIRELESS HEADSET
08-04-2018,2018-2019,1,P/A/47,CASH,ACCESSORY,1,1406.78,1906.78,WIRELESS HEADSET
08-04-2018,2018-2019,1,P/A/47,CASH,ACCESSORY,1,1576.28,2076.28,WIRELESS HEADSET
08-04-2018,2018-2019,1,P/M/A24,CASH,MOBILE,1,982.14,1482.14,BUDGET PHONE
08-04-2018,2018-2019,1,P/M/A25,CREDIT,MOBILE,1,1330.36,1830.36,BUDGET PHONE
29-05-2019,2019-2020,1,P/T/S4,DEBIT,TABLET,1,14669.5,15169.5,MIDRANGE TAB
08-04-2018,2018-2019,1,P/M/A32,MOBILE PAYMENTS,MOBILE,1,11910.72,12410.72,BUDGET PHONE
08-04-2018,2018-2019,1,P/M/A34,MOBILE PAYMENTS,MOBILE,1,12803.58,13303.58,BUDGET PHONE
08-04-2018,2018-2019,1,P/M/A34,DEBIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
08-04-2018,2018-2019,1,P/M/A42,DEBIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
08-04-2018,2018-2019,1,P/M/A42,DEBIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
08-04-2018,2018-2019,1,P/M/A42,CREDIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
08-04-2018,2018-2019,1,P/M/A43,DEBIT,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
08-04-2018,2018-2019,1,P/M/A43,CREDIT,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
08-04-2018,2018-2019,1,P/M/A74,DEBIT,MOBILE,1,60125,60625,FLAGSHIP PHONE
09-04-2018,2018-2019,1,P/A/47,CASH,ACCESSORY,4,1406.78,7627.12,WIRELESS HEADSET
21-04-2018,2018-2019,1,P/M/A62,MOBILE PAYMENTS,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
09-04-2018,2018-2019,1,P/M/A42,CREDIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
22-04-2018,2018-2019,1,P/M/A62,CREDIT,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
10-04-2018,2018-2019,1,P/A/22,CREDIT,ACCESSORY,1,516.1,1016.1,CHARGER 
10-04-2018,2018-2019,1,P/A/47,DEBIT,ACCESSORY,1,1618.64,2118.64,WIRELESS HEADSET
10-04-2018,2018-2019,1,P/M/A34,CREDIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
10-04-2018,2018-2019,1,P/M/A42,DEBIT,MOBILE,1,58339.28,58839.28,FLAGSHIP PHONE
10-04-2018,2018-2019,1,P/M/A54,CASH,MOBILE,1,6375,6875,BUDGET PHONE
11-04-2018,2018-2019,1,P/A/47,MOBILE PAYMENTS,ACCESSORY,2,1533.9,4067.8,WIRELESS HEADSET
11-04-2018,2018-2019,1,P/A/51,CASH,ACCESSORY,1,431.36,931.36,WIRELESS HEADSET
11-04-2018,2018-2019,1,P/M/A42,MOBILE PAYMENTS,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
11-04-2018,2018-2019,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
12-04-2018,2018-2019,1,P/M/A34,MOBILE PAYMENTS,MOBILE,1,12446.42,12946.42,BUDGET PHONE
12-04-2018,2018-2019,1,P/M/A43,CREDIT,MOBILE,1,57446.43,57946.43,FLAGSHIP PHONE
12-04-2018,2018-2019,1,P/M/A61,DEBIT,MOBILE,1,8160.72,8660.72,BUDGET PHONE
13-04-2018,2018-2019,1,P/A/17,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
13-04-2018,2018-2019,1,P/A/21,CASH,ACCESSORY,1,508.48,1008.48,CHARGER 
13-04-2018,2018-2019,1,P/M/A24,MOBILE PAYMENTS,MOBILE,1,973.22,1473.22,BUDGET PHONE
13-04-2018,2018-2019,1,P/M/A25,MOBILE PAYMENTS,MOBILE,1,1285.72,1785.72,BUDGET PHONE
02-05-2018,2018-2019,1,P/M/A62,CREDIT,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
13-04-2018,2018-2019,1,P/M/A34,MOBILE PAYMENTS,MOBILE,1,12446.42,12946.42,BUDGET PHONE
13-04-2018,2018-2019,1,P/M/A54,DEBIT,MOBILE,1,6375,6875,BUDGET PHONE
14-04-2018,2018-2019,1,P/A/48,DEBIT,ACCESSORY,1,770.34,1270.34,WIRELESS HEADSET
14-04-2018,2018-2019,1,P/M/A23,CASH,MOBILE,1,727.68,1227.68,BUDGET PHONE
14-04-2018,2018-2019,1,P/M/A24,CASH,MOBILE,1,982.14,1482.14,BUDGET PHONE
14-04-2018,2018-2019,1,P/M/A24,CASH,MOBILE,1,973.22,1473.22,BUDGET PHONE
14-04-2018,2018-2019,1,P/M/A25,CASH,MOBILE,1,1285.72,1785.72,BUDGET PHONE
14-04-2018,2018-2019,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
14-04-2018,2018-2019,1,P/M/A54,MOBILE PAYMENTS,MOBILE,1,6375,6875,BUDGET PHONE
03-05-2018,2018-2019,1,P/M/A62,CREDIT,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
17-06-2018,2018-2019,1,P/M/A62,CREDIT,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
15-04-2018,2018-2019,1,P/A/17,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
15-04-2018,2018-2019,1,P/M/A19,CASH,MOBILE,1,30741.08,31241.08,PREMIUM MIDRANGE PHONE
15-04-2018,2018-2019,1,P/M/A24,MOBILE PAYMENTS,MOBILE,1,950.9,1450.9,BUDGET PHONE
15-04-2018,2018-2019,1,P/M/A26,CASH,MOBILE,1,2357.14,2857.14,BUDGET PHONE
29-06-2018,2018-2019,1,P/M/A63,DEBIT,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
15-04-2018,2018-2019,1,P/M/A42,DEBIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
15-04-2018,2018-2019,1,P/M/A42,CREDIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
